month,data
2014/01,250
2014/02,249
2014/03,218
2014/04,226
2014/05,210
2014/06,214
2014/07,221
2014/08,250
2014/09,226
2014/10,207
2014/11,221
2014/12,232
2015/01,251
2015/02,246
2015/03,218
2015/04,225
2015/05,208
2015/06,210
2015/07,215
2015/08,270
2015/09,227
2015/10,202
2015/11,216
2015/12,226
2016/01,243
2016/02,248
2016/03,220
2016/04,220
2016/05,204
2016/06,208
2016/07,225
2016/08,299
2016/09,248
2016/10,203
2016/11,213
2016/12,222
2017/01,237
2017/02,240
2017/03,208
2017/04,217
2017/05,199
2017/06,201
2017/07,237
2017/08,292
2017/09,232
2017/10,199
2017/11,209
2017/12,225
2018/01,242
2018/02,246
2018/03,210
2018/04,214
2018/05,200
2018/06,205
2018/07,234
2018/08,342
2018/09,250
2018/10,198
2018/11,207
2018/12,223
2019/01,239
2019/02,230
2019/03,207
2019/04,211
2019/05,198
2019/06,201
2019/07,214
2019/08,297
2019/09,258
2019/10,206
2019/11,206
2019/12,218
2020/01,231
2020/02,232
2020/03,217
2020/04,218
2020/05,203
2020/06,210
2020/07,219
2020/08,272
2020/09,283
2020/10,201
2020/11,206
2020/12,221
2021/01,250
2021/02,239
2021/03,206
2021/04,210
2021/05,198
2021/06,208
2021/07,245
2021/08,325
2021/09,255
2021/10,213
2021/11,211
2021/12,219
2022/1,252
2022/2,239
2022/3,207
2022/4,211
2022/5,198
2022/6,208
2022/7,244
2022/8,324
2022/9,255
2022/10,213
2022/11,211
2022/12,219
